pinchStrength,grabStrength,thumb_meta_proxi,thumb_proxi_inter,index_meta_proxi,index_proxi_inter,middle_meta_proxi,middle_proxi_inter,ring_meta_proxi,ring_proxi_inter,pinky_meta_proxi,pinky_proxi_inter,thumb_index,index_middle,middle_ring,ring_pinky,thumb_center_distance,index_center_distance,middle_center_distance,ring_center_distance,pinky_center_distance,hand_direction_x,hand_direction_y,hand_direction_z,palm_direction,thumb_hand_angle,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_hand_angle,index_direction_x,index_direction_y,index_direction_z,middle_hand_angle,middle_direction_x,middle_direction_y,middle_direction_z,ring_hand_angle,ring_direction_x,ring_direction_y,ring_direction_z,pinky_hand_angle,pinky_direction_x,pinky_direction_y,pinky_direction_z,label
0.486728,1.0,64.1319241415,22.9855933506,71.5893999568,84.089375644,73.0250023099,84.0676328953,76.048969475,83.4927080462,75.1496886389,83.1599254691,62.1928816609,2.07082001228,0.636659710796,3.46659243868,0.601641258764,0.402915210987,0.396624845979,0.371914241133,0.348488628991,-0.0556393,0.388949,-0.919577,1,22.1763779543,-0.264095,0.0684983,-0.962061,151.488407704,0.237971,-0.741224,0.627659,158.098785074,-0.0727366,-0.687401,0.722627,155.546348567,-0.255521,-0.61682,0.744474,142.408042478,-0.543115,-0.4702,0.695656,a
0.496185,1.0,63.3244388746,26.1469432646,72.757096995,86.6323020766,73.6832911401,86.6330743422,76.6783781491,86.4666232734,75.8457913319,86.1963003727,63.7960826057,2.73453301201,0.584405751016,3.35822785818,0.595639984636,0.382783631775,0.37639537709,0.349441614872,0.331175356701,-0.0718566,0.408004,-0.910148,1,22.2406402294,-0.244466,0.067803,-0.967284,154.267290801,0.277535,-0.706321,0.651218,161.333221838,-0.0273784,-0.668053,0.74361,158.759694907,-0.215284,-0.595009,0.77435,144.22293048,-0.515064,-0.445112,0.73252,a
0.498715,1.0,63.1600969618,27.1547136899,72.8590751484,86.9906124348,73.8013197205,87.0123705012,77.1277446849,86.747352505,76.1872664178,86.5200117438,64.1078567843,2.76689034563,0.926170380088,3.45466136042,0.593028114345,0.379274934013,0.372348469959,0.344856956287,0.3268417152,-0.0783377,0.413438,-0.907156,1,22.2157674158,-0.236662,0.0676825,-0.969232,154.5673754,0.289299,-0.702276,0.650473,161.830281374,-0.0150507,-0.667483,0.744473,159.18087771,-0.209312,-0.590822,0.779178,144.157099168,-0.512287,-0.441684,0.73653,a
0.514897,1.0,62.9242072128,29.4111768764,72.4216678576,86.6476615959,72.9876530064,86.5236070156,75.5649590171,86.1582839276,74.8354386203,86.1749878059,65.1981394641,3.34160693339,1.38371283495,3.10582111985,0.579301208901,0.380046059645,0.374371060452,0.34903695584,0.329820740952,-0.122345,0.412164,-0.902858,1,21.4375684161,-0.244599,0.066815,-0.967319,153.989487428,0.337222,-0.69901,0.630608,160.462475379,0.0532124,-0.690464,0.721407,157.342584139,-0.17059,-0.629993,0.757633,143.567759105,-0.472717,-0.494277,0.72954,a
0.500203,1.0,63.0088478406,29.5583856922,71.6877986561,81.2593189239,71.8190509801,80.7864486949,71.9610756667,80.0585212932,71.5905016249,80.4932970649,63.831761144,3.54951767234,3.00273171126,1.38386058368,0.586027368284,0.409023409133,0.412084114862,0.39342042955,0.359366701544,-0.0893309,0.357138,-0.92977,1,21.9254096103,-0.233497,0.007762,-0.972327,149.488096237,0.233811,-0.753218,0.614812,153.578501476,-0.0474004,-0.72178,0.690498,148.909933543,-0.263997,-0.67807,0.685949,137.333257752,-0.569244,-0.49782,0.654322,a
0.652476,1.0,62.3768662237,29.5875166402,67.3004240828,77.8284032985,69.1926659828,77.6196880043,71.9798690443,77.6919381988,71.5900837812,77.8951755907,55.8180779978,0.247204464541,1.03981940424,1.96299296529,0.597215690321,0.445719919014,0.443962583003,0.410479705737,0.373277271165,-0.0952496,0.345692,-0.933501,1,24.9141478567,-0.192134,-0.0722673,-0.978704,142.727636197,0.24242,-0.815345,0.525781,147.739131338,-0.0791382,-0.775049,0.626926,146.320575797,-0.251434,-0.71505,0.652292,135.690652383,-0.5465,-0.57409,0.60972,a
0.475609,1.0,63.0305494829,29.8873314255,72.872352385,79.9243983519,73.6474873596,79.7574293409,75.5807630071,79.6170147336,74.3524462006,79.5087288795,65.8273538997,3.23133172621,0.943650035478,2.68040972683,0.582821805806,0.419770460884,0.421383609712,0.395139785073,0.360690030025,-0.109112,0.274088,-0.955495,1,21.3286966297,-0.216893,-0.0795507,-0.972949,149.304076911,0.299825,-0.677888,0.671247,154.42253024,0.00645432,-0.655365,0.755284,151.885699438,-0.191242,-0.608074,0.770502,138.327726271,-0.524758,-0.477529,0.704695,a
0.500995,1.0,64.1216554007,27.3572565494,70.2164317935,82.0523011581,71.8764909844,81.9447390342,73.146549139,81.8234628224,72.3209019804,81.7734917458,63.1068534029,2.20712062074,1.49384904574,1.82081497642,0.583913781727,0.415555313078,0.411342825279,0.38681690597,0.357328599776,-0.116666,0.35708,-0.926759,1,20.7486115831,-0.246693,0.0238565,-0.9688,148.86857149,0.298567,-0.742108,0.600112,154.83326442,0.00806215,-0.713396,0.700715,151.919983202,-0.177283,-0.678462,0.712924,138.817926562,-0.513735,-0.535177,0.670568,a
0.464393,1.0,63.254060393,29.9107732884,73.0105499657,80.6525199308,73.8912566799,80.2864527413,74.7429833049,79.477611079,73.0749994532,79.8303227803,66.1223944775,3.58072304057,2.20665486253,2.99855314756,0.582909814537,0.411661252811,0.412733795539,0.393761504768,0.360345906319,-0.0954585,0.387192,-0.917044,1,21.1509975663,-0.225863,0.0486592,-0.972943,150.084757259,0.256882,-0.759359,0.597817,155.160972197,-0.0216471,-0.729204,0.683954,150.76080466,-0.244737,-0.68225,0.68894,137.922283029,-0.553345,-0.528444,0.643861,a
0.539191,1.0,62.435511779,29.6412384733,72.5985238694,80.1581088972,73.337741601,80.0140043216,74.7444068992,79.7254671631,74.6802981176,79.5796430389,63.0706041519,2.87535076844,1.25252552054,2.49943991769,0.587879061042,0.415352340609,0.417234680855,0.394148392249,0.360037242188,-0.0804323,0.373375,-0.924187,1,23.3360572795,-0.189103,-0.0119393,-0.981885,149.280068683,0.272042,-0.749269,0.603812,154.376881796,-0.0338154,-0.728442,0.684273,151.182931725,-0.224123,-0.68909,0.689147,139.444063338,-0.531779,-0.545049,0.648176,a
