pinchStrength,grabStrength,thumb_meta_proxi,thumb_proxi_inter,index_meta_proxi,index_proxi_inter,middle_meta_proxi,middle_proxi_inter,ring_meta_proxi,ring_proxi_inter,pinky_meta_proxi,pinky_proxi_inter,thumb_index,index_middle,middle_ring,ring_pinky,thumb_center_distance,index_center_distance,middle_center_distance,ring_center_distance,pinky_center_distance,thumb_dx,thumb_dy,thumb_dz,index_dx,index_dy,index_dz,middle_dx,middle_dy,middle_dz,ring_dx,ring_dy,ring_dz,pinky_dx,pinky_dy,pinky_dz,label
0.404912,1.0,58.96386920348418,38.97337658738255,88.78513188559492,78.0954008465942,92.26763142770592,79.9727245609167,93.72774644190764,81.46486986805355,86.97679609659681,77.46848969172665,89.6109026116748,9.743954794391462,3.6464086302532,11.1937181464847,0.5746057186271155,0.4236249472348456,0.39378403966290043,0.3694477982067262,0.3849007417519088,0.0849592,-0.105709,-0.990761,-0.0956735,-0.397645,0.912538,-0.228174,-0.297209,0.927148,-0.380085,-0.251192,0.89019,-0.603445,-0.35083,0.716082,a
0.498318,1.0,59.22620561601217,38.48300193626602,86.45562482151612,79.33642700379743,89.864123226507,81.08209045065796,91.65513476375735,82.60329042675056,85.52633737520563,79.27390110679485,85.81560983655112,9.852907150132825,3.2214216494046526,10.706601747057467,0.561730134850053,0.4439901088869247,0.408834270717141,0.37946527582460887,0.4048952378370919,0.126511,-0.134354,-0.982824,-0.16956,-0.414284,0.894214,-0.273366,-0.310533,0.910407,-0.421675,-0.25212,0.870991,-0.622967,-0.332545,0.708044,a
0.719489,1.0,55.956340397250614,42.27809687386119,86.87461619472556,79.58483712816131,88.71667033799015,81.01293849722343,90.28678842574237,82.28194887010844,85.66124605877425,80.62834782726625,81.20562361881908,10.064962153183192,3.069588797068127,8.729602020810626,0.5538894938004869,0.4342843734665902,0.4010330223394875,0.3736614706134251,0.37616853333963324,0.201417,-0.214035,-0.955835,-0.262553,-0.428444,0.864582,-0.310556,-0.35442,0.88201,-0.458858,-0.300316,0.836218,-0.718178,-0.276907,0.638391,a
0.557831,1.0,57.785038078730324,37.25777126437489,86.68711853188555,82.04618078726953,88.19050140936315,82.60804877060134,88.34163214803928,83.44437481236956,81.12702356525787,78.65738595360025,82.9248728555159,9.661219256813704,3.5287095533877464,10.494952992606105,0.5616334382312546,0.4315479142446068,0.3975008873813195,0.3720198064839783,0.37223090052904756,0.223166,-0.275854,-0.934934,-0.31558,-0.273329,0.908681,-0.383329,-0.219555,0.897137,-0.530609,-0.204367,0.82261,-0.737755,-0.322054,0.593295,a
0.367383,1.0,58.786672068162495,35.12922808655291,86.44764365824962,81.34197396913422,90.18330183985921,81.96638319877368,91.85771081493206,82.53782901051952,85.70390725270279,79.78472303706542,86.28444517131119,9.419954811239878,3.28578654369865,11.239038967334471,0.6706014790810491,0.43453221255753216,0.40496034976072903,0.38566712558081084,0.4172722463372729,0.0407691,-0.040781,-0.998336,-0.0829183,-0.438494,0.894901,-0.233372,-0.355287,0.905157,-0.387147,-0.319106,0.865037,-0.543969,-0.416752,0.728297,a
0.505654,1.0,55.38670897618551,35.759920626201,85.65578787761471,82.22864474079606,86.6634604973213,81.71203809352964,87.49559222359154,83.2239318807363,80.50916241431958,79.67282390914134,80.63522384225294,9.048084767518842,2.9748377760599607,10.919198728005501,0.6228635112431796,0.4249480216200054,0.39670932627990607,0.37643893106188686,0.3909702321745121,0.183936,-0.238239,-0.95363,-0.241713,-0.346032,0.906552,-0.34938,-0.328449,0.877528,-0.498586,-0.302103,0.812493,-0.655906,-0.427854,0.621875,a
0.44535,1.0,58.94619633743177,37.686249347985694,88.02917979155636,80.58146630955778,90.12422151478506,80.97329280667464,92.14035886579774,81.8705175221384,86.70513675314946,78.95019562114629,87.02413422127456,9.328584437821545,3.249065640202296,10.340551954994039,0.6011661853846142,0.4215459693046223,0.3935760936553354,0.37288562257060687,0.38312285406702945,0.111115,0.00163489,-0.993806,-0.13799,-0.487554,0.862119,-0.25789,-0.432596,0.863918,-0.409344,-0.381424,0.828826,-0.609476,-0.430145,0.665969,a
0.454087,1.0,59.481549118170186,37.388654890253406,89.15087361271458,80.10625116442307,92.18063982094542,80.95962447965971,94.00591814487412,82.03345567687838,87.70008310979516,78.39099806891468,85.70901027606385,9.164351694170799,3.5842916107221323,11.188242100467088,0.5826470145986183,0.41135966572546234,0.38938126827092306,0.37047430199416476,0.3758072590923385,0.121104,-0.0243523,-0.992341,-0.0832107,-0.481044,0.872739,-0.258646,-0.398907,0.879759,-0.407222,-0.342378,0.846728,-0.606387,-0.413291,0.679327,a
0.496329,1.0,57.2590862255067,38.58104562953628,87.61511548998735,81.37417589000331,90.27272288354686,81.67617876773335,90.83422139079303,81.99779207290612,82.69434829238135,76.4779098067811,86.10588387937452,9.90463094694662,3.6203858087615157,12.723780316431053,0.5800896080779044,0.41308296574174586,0.38658112629199287,0.36915448280512264,0.3863895967027139,0.130395,-0.157244,-0.978913,-0.223566,-0.35412,0.908084,-0.300636,-0.28628,0.909759,-0.45384,-0.267304,0.850046,-0.602248,-0.440326,0.665891,a
0.388593,1.0,58.62427284030967,34.976288118835654,86.71308941827006,80.41862362102857,90.62383274384436,81.53855625985,90.82754978959463,81.63344353057343,82.5581644356995,76.54634397001975,86.15530830328224,10.075735763579692,3.837143344786519,12.712022288794163,0.5880911602925131,0.41920593409897977,0.386138943766608,0.3699851713184957,0.3909184486880838,0.109191,-0.152989,-0.982177,-0.173821,-0.358237,0.917307,-0.283934,-0.264436,0.921659,-0.438346,-0.270622,0.857098,-0.577284,-0.454854,0.678123,a
