pinchStrength,grabStrength,thumb_meta_proxi,thumb_proxi_inter,index_meta_proxi,index_proxi_inter,middle_meta_proxi,middle_proxi_inter,ring_meta_proxi,ring_proxi_inter,pinky_meta_proxi,pinky_proxi_inter,thumb_index,index_middle,middle_ring,ring_pinky,thumb_center_distance,index_center_distance,middle_center_distance,ring_center_distance,pinky_center_distance,palm_direction,label
1.0,0.0,68.378955518854,35.87127340671274,24.096697020807255,8.575134943682512,60.19282978245936,76.73122725910444,66.19553308012756,75.15609472148849,67.26031276776834,74.8503359515745,29.93035813618362,53.62007859811617,3.481188532560583,2.8651917519187324,0.5549413883566267,0.9479706558673355,0.4992343566458724,0.4764885998864836,0.46692544210817327,1,d
1.0,0.0,68.01313926700828,38.922404368064456,27.0445673413883,3.9839120147121263,64.64876573090089,74.46456032506335,69.74394038235762,74.12708479573375,70.17246629738852,73.5470602456297,29.377139322380554,55.559419950721654,2.697548837147533,3.6239710333352924,0.5524628961079151,0.9484565400560828,0.5038356213308629,0.47675252578176164,0.45341704025012847,1,d
1.0,0.0,67.6170034080252,36.46820678354592,22.79310226853593,7.674161844115113,62.878572009496295,75.4796713830661,64.7658949532857,76.1195094589389,64.60299425030367,75.88508465593132,29.87745693344465,56.19490972902682,0.9387321656599671,2.802862188004915,0.5621516701077931,0.9543149723683139,0.5379628451055173,0.4810982533081691,0.45059190700011464,1,d
1.0,0.0,69.62202224008077,34.32367507260531,25.364591890319275,6.035176523066041,67.52927197455611,75.18912925304886,65.98362237045686,76.83094217141624,63.995662861347206,74.07478060113354,29.94500268617366,60.54157794141781,4.032964341949246,4.357605077228393,0.5638031709178354,0.9529537655929541,0.49332573910141353,0.47368196694015025,0.4478724859615208,1,d
1.0,0.0,74.66164566820419,30.13901106066996,23.762769655261216,6.463601288739913,50.34423647079755,69.84047697636281,60.19872934104401,76.43920230438306,59.66951121554458,78.58150364971982,27.28141517093585,44.80325640840464,8.291851814287766,3.283872488527369,0.5655676929610195,0.953641090031678,0.6492441074702212,0.48668005802554637,0.4491953206685236,1,d
1.0,0.0,66.79618661482056,40.50643756651624,26.663723134495427,4.707154345237834,61.06518445809129,73.53575841121638,67.23073170133443,76.36953283733511,66.9043545252398,75.40391826847318,32.04026364467203,53.67125848505709,3.8687344295916963,3.0456534991900845,0.5561880037285232,0.9499742306026573,0.5168057666931749,0.4793205701707782,0.44892342194892315,1,d
1.0,0.0,72.24233187834486,30.002796207419184,23.07047275409673,10.726114140680718,42.469914551372014,58.897595569160536,54.87360287984187,75.33593880734587,55.331093911262954,79.74292685136653,28.513073695200355,37.627628153405176,11.118448073516063,2.3368408750317022,0.5648267354771768,0.9527093899466484,0.6389931636035628,0.4946903745036501,0.45227732933295217,1,d
1.0,0.0,78.33145543323772,32.65085266946431,28.758558808998963,8.862904165352878,27.059341976571446,62.46797424222451,58.49795977634959,81.30772564049886,59.4278890559341,80.81260929181474,25.514994004081384,23.6542571097562,30.255583041614724,0.7545957688845265,0.5533526434527215,0.9478509970758277,0.6922433466810999,0.4867664793121354,0.4499877506846928,1,d
1.0,0.0,80.21240622727493,33.20672013117775,31.136584405283752,7.975372389578325,9.189108296478741,11.545177886313153,61.22362836951294,80.01811786772615,61.804353360372694,79.71417366671737,26.78174259798948,18.314232070639644,51.112343864112745,1.8703666099944272,0.5422798463063947,0.9371734062799327,0.9532621648541949,0.476306436877926,0.446481447572197,1,d
1.0,0.0,75.36037889972847,29.462007967539012,24.504711542325605,8.54474192479108,50.41636793985683,76.56689368059658,58.71790077340476,76.73465507792822,58.78908214535552,79.37983302608026,24.94610486831336,43.240274843276374,7.131142851234696,2.87639790457275,0.54784304316801,0.9422719561329159,0.6123251466582776,0.4801454906369659,0.4483214798561075,1,d
